Date,Image,Size,Species,Confidence,Morph,Price
202410,e0c1dff303fa9a6b7331dff0f2497223.jpg,adult,crestedgeko,,undefined,140000.0
202410,767d90a5c4c2c24ce221040804b33b40.jpg,subadult,crestedgeko,,frapuccino,360000.0
202410,2b5106ca4dc6964eec4ea2dbaf48d0e9.jpg,baby,crestedgeko,,frapuccino,170000.0
202410,ea67ca0a4a7f0730ce237268abc5107e.jpg,baby,crestedgeko,,frapuccino,150000.0
202410,fef3a942dca7ab8176749637e08dab3f.jpg,baby,crestedgeko,,frapuccino,150000.0
202410,0b8a5d8d4f38f00df7613cb30b1241a3.jpg,baby,crestedgeko,,frapuccino,170000.0
202410,44cb7c09f8a880840ba715ca30a3b135.jpg,baby,crestedgeko,,cappucino,60000.0
202410,71fb345e30a5a23a912f4f49c04925ee.jpg,baby,crestedgeko,,frapuccino,150000.0
202410,b047b36cbff48c27fdb3e225a2191545.jpg,baby,crestedgeko,,frapuccino,180000.0
202410,fa3b12f488d2a204371524eb8deedc16.jpg,baby,crestedgeko,,frapuccino,180000.0
202410,95e5019774809014069095a76829a8cb.jpg,baby,crestedgeko,,frapuccino,150000.0
202410,a67b5a018666143b4349b5d285771ec6.jpg,baby,crestedgeko,,frapuccino,220000.0
202410,308bf92a50b80f179f9f4b7fae864415.jpg,baby,crestedgeko,,cappucino,140000.0
202410,e468c97914a6c3852f560a944dd5c196.jpg,baby,crestedgeko,,frapuccino,250000.0
202410,d1473272c4e655a00f076c5daa7e550e.jpg,baby,crestedgeko,,frapuccino,250000.0
202410,03c48aa52db4e33b14f66bb3ecdee2bf.jpg,baby,crestedgeko,,frapuccino,220000.0
202410,fd0a8ac86c727391d61f3b020ecb04a3.jpg,baby,crestedgeko,,frapuccino,280000.0
202410,32a77c8b04ecb5e4664ecb117c25d4b8.jpg,baby,crestedgeko,,frapuccino,200000.0
202410,4948f45a1b633d8c0149de6582b34654.jpg,baby,crestedgeko,,frapuccino,200000.0
202410,9be75a861fd562a557479547b34209a1.jpg,baby,crestedgeko,,frapuccino,200000.0
202410,f19e12905c640b8f0402f14221b6fadd.jpg,baby,crestedgeko,,frapuccino,180000.0
202410,3f0da884f8540a91fe4cbb34c03f15b8.jpg,babeadult,crestedgeko,,lily,820000.0
